選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
今成　亮太,日本ハム,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,2.0,3.0,∞,∞,2010
渡部　龍一,日本ハム,1.0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2010
金澤　岳,ロッテ,0.571,6,7,7,4,0,1,0,0,0,3,0,0,0.571,0.571,1.143,17.32,15.39,2010
青木　宣親,ヤクルト,0.358,144,667,583,209,14,63,19,63,18,61,0,10,0.435,0.509,0.944,8.87,8.30,2010
平野　恵一,阪神,0.35,139,593,492,172,1,24,6,34,7,55,59,2,0.399,0.421,0.82,5.93,5.55,2010
マートン,阪神,0.349,144,668,613,214,17,91,11,47,3,70,0,14,0.395,0.499,0.894,7.32,6.96,2010
西岡　剛,ロッテ,0.346,144,692,596,206,11,59,22,79,4,96,8,8,0.423,0.482,0.904,7.81,7.46,2010
和田　一浩,中日,0.339,144,602,505,171,37,93,5,92,0,77,0,12,0.437,0.624,1.061,10.05,9.69,2010
フェルナンデス,西武,0.339,57,243,221,75,11,45,1,17,2,26,0,8,0.387,0.538,0.925,7.35,7.17,2010
田中　賢介,日本ハム,0.335,143,662,576,193,5,54,34,72,2,66,7,6,0.408,0.417,0.824,6.94,6.65,2010
上本　博紀,阪神,0.333,28,16,15,5,0,2,2,1,0,1,0,1,0.375,0.4,0.775,4.38,3.89,2010
新田　玄気,ヤクルト,0.333,6,6,6,2,0,0,0,0,0,1,0,0,0.333,0.5,0.833,6.54,5.74,2010
中村　悠平,ヤクルト,0.333,3,6,6,2,0,1,0,0,0,4,0,0,0.333,0.5,0.833,6.35,5.60,2010
今江　敏晃,ロッテ,0.331,140,596,531,176,10,77,8,22,8,66,30,10,0.364,0.461,0.825,5.88,5.60,2010
カブレラ,オリックス,0.331,112,481,408,135,24,82,1,69,2,91,0,14,0.428,0.569,0.997,8.73,8.41,2010
森山　周,オリックス,0.331,68,149,130,43,0,9,5,8,0,21,10,2,0.367,0.346,0.713,4.63,4.49,2010
平尾　博嗣,西武,0.33,57,126,109,36,3,17,2,13,0,24,3,4,0.398,0.477,0.875,6.52,6.31,2010
森野　将彦,中日,0.327,144,626,547,179,22,84,2,64,6,77,2,16,0.399,0.537,0.937,7.58,7.30,2010
荻野　貴司,ロッテ,0.326,46,217,175,57,1,17,25,16,2,24,21,2,0.383,0.417,0.8,6.17,5.96,2010
多村　仁志,ソフトバンク,0.324,140,559,513,166,27,89,2,33,10,93,0,11,0.374,0.55,0.924,7.37,7.10,2010
木村　昇吾,広島,0.324,70,164,136,44,1,11,6,10,2,33,16,1,0.378,0.493,0.871,5.86,5.48,2010
鉄平,楽天,0.318,127,555,481,153,9,64,13,53,9,57,5,3,0.391,0.464,0.855,7.02,6.82,2010
石井　琢朗,広島,0.318,74,165,148,47,0,20,1,11,1,20,5,2,0.369,0.365,0.734,5.05,4.78,2010
川崎　宗則,ソフトバンク,0.316,144,662,602,190,4,53,30,43,7,86,10,6,0.368,0.397,0.765,5.62,5.33,2010
ハーパー,横浜,0.316,64,261,225,71,19,56,0,28,4,58,0,7,0.395,0.596,0.99,8.15,8.20,2010
内川　聖一,横浜,0.315,144,637,577,182,9,66,1,47,6,51,3,17,0.371,0.438,0.809,5.79,5.54,2010
嶋　基宏,楽天,0.315,127,485,422,133,3,43,9,45,0,90,17,15,0.38,0.377,0.757,4.93,4.71,2010
中島　裕之,西武,0.314,130,579,503,158,20,93,15,52,13,97,0,20,0.385,0.511,0.896,6.76,6.70,2010
新井　貴浩,阪神,0.311,144,641,570,177,19,112,7,52,11,89,0,19,0.374,0.484,0.859,6.39,6.23,2010
小谷野　栄一,日本ハム,0.311,144,614,569,177,16,109,8,29,3,87,6,17,0.344,0.467,0.811,5.52,5.36,2010
矢野　謙次,巨人,0.311,42,88,74,23,2,13,0,10,0,11,4,1,0.393,0.473,0.866,6.14,5.90,2010
栗山　巧,西武,0.31,144,660,554,172,4,74,14,80,5,69,18,7,0.4,0.403,0.803,6.29,6.02,2010
糸井　嘉男,日本ハム,0.309,138,583,488,151,15,64,26,71,10,94,13,7,0.407,0.482,0.889,7.34,7.02,2010
廣瀬　純,広島,0.309,135,546,482,149,12,57,3,36,16,66,8,9,0.374,0.463,0.836,6.33,6.09,2010
ホワイトセル,ヤクルト,0.309,68,268,230,71,15,53,0,32,4,71,0,4,0.399,0.591,0.991,8.54,8.32,2010
坂口　智隆,オリックス,0.308,138,622,558,172,5,50,12,52,4,77,7,13,0.371,0.427,0.797,5.70,5.41,2010
小笠原　道大,巨人,0.308,137,591,510,157,34,90,1,73,3,101,0,9,0.394,0.559,0.953,8.07,7.95,2010
