選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
山本　祐大,DeNA,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,∞,∞,2018.0,500,捕手,1,20,1998/09/11,180cm,78kg,A型,右右,大阪,False
江川　智晃,ソフトバンク,0.6,5.0,5.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,1.4,2.0,37.98,33.21,2018.0,1700,外野手,14,32,1986/10/31,180cm,89kg,B型,右右,三重,False
上本　博紀,阪神,0.422,20.0,53.0,45.0,19.0,1.0,6.0,4.0,6.0,0.0,8.0,1.0,1.0,0.481,0.556,1.036,11.35,10.71,2018.0,4300,内野手,10,32,1986/07/04,173cm,71kg,O型,右右,広島,False
金子　一輝,西武,0.357,6.0,14.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.357,0.643,1.0,5.37,5.25,2018.0,550,内野手,5,23,1995/05/29,182cm,75kg,B型,右右,神奈川,False
柳田　悠岐,ソフトバンク,0.352,130.0,550.0,475.0,167.0,36.0,102.0,21.0,62.0,8.0,105.0,0.0,8.0,0.431,0.661,1.092,10.41,10.02,2018.0,40000,外野手,8,30,1988/10/09,188cm,92kg,AB型,右左,広島,False
大引　啓次,ヤクルト,0.35,47.0,136.0,123.0,43.0,5.0,15.0,0.0,10.0,0.0,30.0,3.0,3.0,0.398,0.512,0.911,6.96,6.58,2018.0,6000,内野手,12,34,1984/06/29,178cm,84kg,A型,右右,大阪,False
ビシエド,中日,0.348,135.0,582.0,512.0,178.0,26.0,99.0,3.0,51.0,15.0,61.0,0.0,24.0,0.419,0.555,0.974,7.91,7.61,2018.0,17000,内野手,3,29,1989/03/10,185cm,108kg,不明,右右,キューバ,True
坂本　勇人,巨人,0.345,109.0,502.0,441.0,152.0,18.0,67.0,9.0,61.0,0.0,83.0,0.0,4.0,0.424,0.537,0.962,8.85,8.30,2018.0,35000,内野手,12,30,1988/12/14,186cm,83kg,AB型,右右,兵庫,False
髙橋　大樹,広島,0.333,6.0,16.0,15.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.375,0.4,0.775,4.71,4.32,2018.0,550,外野手,6,24,1994/05/11,181cm,86kg,O型,右右,大阪,False
平沼　翔太,日本ハム,0.333,7.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333,0.444,0.778,5.83,5.22,2018.0,540,内野手,3,21,1997/08/16,179cm,79kg,A型,右左,福井,False
平田　良介,中日,0.329,138.0,568.0,493.0,162.0,9.0,55.0,8.0,67.0,3.0,69.0,2.0,7.0,0.41,0.456,0.866,7.16,6.85,2018.0,12000,外野手,13,30,1988/03/23,177cm,94kg,B型,右右,大阪,False
青木　宣親,ヤクルト,0.327,127.0,567.0,495.0,162.0,10.0,67.0,3.0,51.0,19.0,48.0,0.0,13.0,0.409,0.475,0.884,7.18,6.80,2018.0,33000,外野手,9,36,1982/01/05,175cm,80kg,A型,右左,宮崎,False
秋山　翔吾,西武,0.323,143.0,685.0,603.0,195.0,24.0,82.0,15.0,77.0,4.0,96.0,0.0,3.0,0.403,0.534,0.937,8.16,7.77,2018.0,22000,外野手,8,30,1988/04/16,184cm,85kg,A型,右左,神奈川,False
近藤　健介,日本ハム,0.323,129.0,555.0,462.0,149.0,9.0,69.0,5.0,87.0,1.0,90.0,0.0,16.0,0.427,0.457,0.884,7.43,7.12,2018.0,5600,捕手,7,25,1993/08/09,173cm,85kg,O型,右左,千葉,False
田代　将太郎,ヤクルト,0.323,73.0,36.0,31.0,10.0,1.0,2.0,4.0,4.0,0.0,9.0,1.0,0.0,0.4,0.419,0.819,5.55,5.55,2018.0,600,外野手,7,29,1989/12/13,178cm,74kg,A型,左左,北海道,False
北條　史也,阪神,0.322,62.0,266.0,239.0,77.0,1.0,20.0,1.0,19.0,1.0,32.0,4.0,7.0,0.37,0.377,0.747,5.12,5.00,2018.0,2000,内野手,6,24,1994/07/29,177cm,78kg,O型,右右,大阪,False
吉田　正尚,オリックス,0.321,143.0,598.0,514.0,165.0,26.0,86.0,3.0,69.0,7.0,74.0,0.0,9.0,0.403,0.553,0.956,8.27,8.02,2018.0,3100,外野手,3,25,1993/07/15,173cm,83kg,B型,右左,福井,False
アルモンテ,中日,0.321,132.0,546.0,498.0,160.0,15.0,77.0,1.0,44.0,1.0,95.0,0.0,16.0,0.375,0.486,0.861,6.43,6.13,2018.0,5000,外野手,1,29,1989/06/10,183cm,98kg,不明,右両,ドミニカ共和国,True
鈴木　誠也,広島,0.32,124.0,520.0,422.0,135.0,30.0,94.0,4.0,88.0,5.0,116.0,0.0,4.0,0.438,0.618,1.057,10.02,9.75,2018.0,9000,外野手,6,24,1994/08/18,181cm,96kg,A型,右右,東京都,True
宮﨑　敏郎,DeNA,0.318,142.0,590.0,551.0,175.0,28.0,71.0,0.0,38.0,1.0,45.0,0.0,16.0,0.363,0.532,0.894,6.80,6.49,2018.0,8000,内野手,6,30,1988/12/12,172cm,85kg,B型,右右,佐賀,False
