選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
吉川　大幾,中日,0.5,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.04,10.8,2012.0,680,内野手,2,20,1992/08/21,175cm,70kg,A型,右右,大阪,False
谷口　雄也,日本ハム,0.4,4.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.4,0.6,1.0,7.56,6.55,2012.0,480,外野手,2,20,1992/06/01,182cm,80kg,B型,右左,三重,False
深江　真登,オリックス,0.375,8.0,29.0,24.0,9.0,0.0,2.0,3.0,2.0,1.0,5.0,2.0,0.0,0.444,0.542,0.986,8.84,8.27,2012.0,800,外野手,2,25,1987/09/05,180cm,75kg,A型,右左,神奈川,False
二岡　智宏,日本ハム,0.353,65.0,94.0,85.0,30.0,2.0,14.0,0.0,7.0,1.0,13.0,0.0,3.0,0.404,0.435,0.84,6.57,6.38,2012.0,6200,内野手,14,36,1976/04/29,180cm,81kg,O型,右右,広島,False
阿部　慎之助,巨人,0.34,138.0,556.0,467.0,159.0,27.0,104.0,0.0,69.0,9.0,47.0,2.0,11.0,0.429,0.565,0.994,9.0,8.79,2012.0,40000,捕手,12,33,1979/03/20,180cm,97kg,A型,右左,千葉,False
狩野　恵輔,阪神,0.333,7.0,15.0,15.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.333,0.667,1.0,8.58,7.99,2012.0,2700,外野手,12,30,1982/12/17,181cm,82kg,B型,右右,群馬,False
桑原　将志,DeNA,0.333,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,4.43,4.19,2012.0,540,内野手,1,19,1993/07/21,174cm,74kg,B型,右右,大阪,False
鈴木　将光,広島,0.333,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.333,0.667,4.43,4.19,2012.0,550,外野手,7,25,1987/04/08,182cm,82kg,A型,右右,富山,False
磯村　嘉孝,広島,0.333,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,4.55,4.32,2012.0,480,捕手,2,20,1992/11/01,178cm,82kg,A型,右右,愛知,False
前田　智徳,広島,0.327,56.0,56.0,49.0,16.0,0.0,19.0,0.0,5.0,0.0,5.0,0.0,2.0,0.375,0.408,0.783,5.47,5.33,2012.0,5600,外野手,23,41,1971/06/14,176cm,80kg,AB型,右左,熊本,False
石井　義人,巨人,0.315,51.0,64.0,54.0,17.0,0.0,14.0,0.0,7.0,0.0,9.0,1.0,0.0,0.381,0.352,0.733,5.69,5.87,2012.0,1600,内野手,16,34,1978/07/12,178cm,85kg,O型,右左,埼玉,False
角中　勝也,ロッテ,0.312,128.0,525.0,477.0,149.0,3.0,61.0,8.0,38.0,5.0,68.0,1.0,9.0,0.366,0.415,0.782,5.67,5.43,2012.0,1000,外野手,6,25,1987/05/25,180cm,80kg,A型,右左,石川,False
坂本　勇人,巨人,0.311,144.0,619.0,557.0,173.0,14.0,69.0,16.0,39.0,6.0,90.0,12.0,5.0,0.359,0.456,0.815,6.29,6.06,2012.0,11000,内野手,6,24,1988/12/14,185cm,80kg,AB型,右右,兵庫,False
中島　裕之,西武,0.311,136.0,567.0,499.0,155.0,13.0,74.0,7.0,52.0,9.0,76.0,1.0,10.0,0.382,0.451,0.833,6.29,6.14,2012.0,28000,内野手,12,30,1982/07/31,181cm,90kg,A型,右右,兵庫,False
大島　洋平,中日,0.31,144.0,631.0,555.0,172.0,1.0,13.0,32.0,46.0,13.0,80.0,17.0,7.0,0.376,0.368,0.744,5.13,4.91,2012.0,2500,外野手,3,27,1985/11/09,176cm,74kg,A型,左左,愛知,False
中東　直己,広島,0.31,53.0,33.0,29.0,9.0,0.0,1.0,1.0,2.0,0.0,5.0,2.0,0.0,0.355,0.31,0.665,3.94,3.85,2012.0,950,外野手,6,31,1981/10/05,168cm,75kg,B型,右左,広島,False
ホワイトセル,ロッテ,0.309,63.0,257.0,223.0,69.0,9.0,43.0,0.0,29.0,4.0,75.0,0.0,2.0,0.397,0.489,0.886,7.37,7.16,2012.0,2400,内野手,3,30,1982/04/14,186cm,99kg,不明,左左,アメリカ,True
藤田　一也,楽天,0.308,63.0,188.0,172.0,53.0,0.0,15.0,5.0,4.0,0.0,10.0,11.0,4.0,0.322,0.378,0.7,4.05,3.84,2012.0,3900,内野手,8,30,1982/07/03,175cm,75kg,O型,右左,徳島,False
藤田　一也,DeNA,0.243,46.0,126.0,111.0,27.0,0.0,7.0,1.0,8.0,1.0,9.0,5.0,2.0,0.298,0.288,0.586,2.79,2.85,2012.0,3900,内野手,8,30,1982/07/03,175cm,75kg,O型,右左,徳島,False
田上　健一,阪神,0.308,31.0,16.0,13.0,4.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,0.357,0.308,0.665,3.67,3.62,2012.0,600,外野手,3,25,1987/12/12,180cm,69kg,A型,右左,神奈川,False
矢野　謙次,巨人,0.307,62.0,119.0,101.0,31.0,1.0,4.0,0.0,12.0,2.0,18.0,4.0,4.0,0.391,0.396,0.787,5.38,5.08,2012.0,3000,外野手,10,32,1980/09/21,178cm,81kg,O型,右右,東京都,True
糸井　嘉男,日本ハム,0.304,134.0,597.0,510.0,155.0,9.0,48.0,22.0,75.0,11.0,86.0,0.0,9.0,0.404,0.41,0.813,6.47,6.26,2012.0,19000,外野手,9,31,1981/07/31,187cm,88kg,A型,右左,京都,False
長野　久義,巨人,0.301,144.0,653.0,574.0,173.0,14.0,60.0,20.0,75.0,1.0,100.0,2.0,5.0,0.382,0.432,0.815,6.45,6.2,2012.0,9500,外野手,3,28,1984/12/06,180cm,83kg,O型,右右,佐賀,False
内川　聖一,ソフトバンク,0.3,138.0,567.0,523.0,157.0,7.0,53.0,6.0,31.0,6.0,36.0,0.0,12.0,0.342,0.392,0.734,4.81,4.73,2012.0,17000,外野手,12,30,1982/08/04,185cm,88kg,B型,右右,大分,False
ミレッジ,ヤクルト,0.3,125.0,546.0,476.0,143.0,21.0,65.0,9.0,57.0,6.0,79.0,3.0,11.0,0.379,0.485,0.865,6.46,6.34,2012.0,4500,外野手,1,27,1985/04/05,183cm,93kg,不明,右右,アメリカ,True
田中　賢介,日本ハム,0.3,114.0,505.0,457.0,137.0,3.0,32.0,13.0,35.0,2.0,36.0,8.0,2.0,0.35,0.363,0.713,4.81,4.7,2012.0,27000,内野手,13,31,1981/05/20,176cm,78kg,O型,右左,福岡,False
ラミレス,DeNA,0.3,137.0,504.0,476.0,143.0,19.0,76.0,0.0,18.0,7.0,60.0,0.0,18.0,0.333,0.473,0.806,5.26,5.13,2012.0,35000,外野手,12,38,1974/10/03,180cm,100kg,不明,右右,ベネズエラ,True
松田　宣浩,ソフトバンク,0.3,95.0,390.0,360.0,108.0,9.0,56.0,16.0,27.0,1.0,63.0,0.0,7.0,0.349,0.492,0.84,5.87,5.59,2012.0,10000,内野手,7,29,1983/05/17,180cm,85kg,B型,右右,滋賀,False
島内　宏明,楽天,0.299,41.0,104.0,97.0,29.0,2.0,17.0,1.0,2.0,0.0,8.0,4.0,2.0,0.31,0.443,0.753,4.73,4.58,2012.0,800,外野手,1,22,1990/02/02,180cm,76kg,B型,左左,東京都,True
川端　慎吾,ヤクルト,0.298,125.0,507.0,453.0,135.0,4.0,49.0,3.0,35.0,2.0,56.0,13.0,7.0,0.348,0.38,0.728,4.82,4.72,2012.0,3600,内野手,7,25,1987/10/16,185cm,82kg,O型,右左,大阪,False
阿部　俊人,楽天,0.298,30.0,51.0,47.0,14.0,0.0,2.0,1.0,0.0,1.0,9.0,3.0,0.0,0.313,0.298,0.61,2.53,2.52,2012.0,1100,内野手,2,24,1988/12/23,180cm,73kg,AB型,右左,宮城,False
宮出　隆自,ヤクルト,0.296,37.0,58.0,54.0,16.0,3.0,8.0,0.0,3.0,0.0,11.0,1.0,1.0,0.333,0.593,0.926,6.84,6.51,2012.0,1100,外野手,17,35,1977/08/18,192cm,90kg,A型,右右,愛媛,False
枡田　慎太郎,楽天,0.295,79.0,290.0,254.0,75.0,5.0,32.0,1.0,19.0,5.0,56.0,7.0,2.0,0.35,0.433,0.783,5.55,5.51,2012.0,660,内野手,7,25,1987/07/08,178cm,80kg,AB型,右左,京都,False
カーター,西武,0.294,59.0,138.0,126.0,37.0,4.0,27.0,0.0,10.0,1.0,22.0,0.0,3.0,0.348,0.452,0.8,5.6,5.47,2012.0,4800,内野手,1,30,1982/09/16,183cm,98kg,不明,左左,アメリカ,True
秋山　翔吾,西武,0.293,107.0,450.0,403.0,118.0,4.0,37.0,10.0,28.0,3.0,70.0,15.0,7.0,0.343,0.404,0.747,4.82,4.63,2012.0,1800,外野手,2,24,1988/04/16,183cm,86kg,A型,右左,神奈川,False
河田　寿司,楽天,0.293,18.0,47.0,41.0,12.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,2.0,0.362,0.293,0.654,3.73,3.94,2012.0,710,捕手,7,33,1979/12/05,180cm,90kg,O型,右左,熊本,False
