選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
隠善　智也,巨人,1.0,3,2,2,2,0,2,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2015
西村　弥,楽天,1.0,3,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2015
山川　穂高,西武,1.0,1,1,1,1,0,1,0,0,0,0,0,0,1.0,1.0,2.0,∞,∞,2015
谷内　亮太,ヤクルト,0.5,4,6,6,3,0,0,0,0,0,1,0,0,0.5,0.667,1.167,15.11,12.96,2015
金子　圭輔,ソフトバンク,0.5,9,4,4,2,0,0,0,0,0,1,0,0,0.5,0.5,1.0,12.17,10.94,2015
柳田　悠岐,ソフトバンク,0.363,138,605,502,182,34,99,32,88,14,101,0,9,0.469,0.631,1.101,11.39,10.81,2015
秋山　翔吾,西武,0.359,143,675,602,216,14,55,17,60,4,78,7,6,0.419,0.522,0.941,8.04,7.57,2015
川端　慎吾,ヤクルト,0.336,143,632,581,195,8,57,4,43,3,72,2,15,0.383,0.439,0.822,6.20,5.85,2015
カニザレス,ソフトバンク,0.333,14,36,33,11,1,3,0,3,0,5,0,1,0.389,0.455,0.843,6.49,6.21,2015
山田　哲人,ヤクルト,0.329,143,646,557,183,38,100,34,81,5,111,0,11,0.416,0.61,1.027,9.56,9.19,2015
近藤　健介,日本ハム,0.326,129,504,435,142,8,60,6,59,2,59,3,9,0.405,0.467,0.872,7.20,6.89,2015
小田　裕也,オリックス,0.326,31,97,89,29,2,6,6,4,1,23,3,1,0.362,0.461,0.822,6.33,5.99,2015
赤坂　和幸,中日,0.326,35,49,43,14,0,8,2,6,0,8,0,0,0.408,0.372,0.78,7.05,6.68,2015
上林　誠知,ソフトバンク,0.318,15,45,44,14,2,6,0,0,1,13,0,0,0.333,0.591,0.924,6.38,6.08,2015
筒香　嘉智,DeNA,0.317,138,568,496,157,24,93,0,68,2,98,0,5,0.4,0.522,0.922,8.00,7.74,2015
清田　育宏,ロッテ,0.317,130,548,489,155,15,67,10,54,3,93,0,11,0.387,0.503,0.89,7.10,6.76,2015
